Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2
Love Rollercoaster,Ohio Players,1976,1,31,Ohio Players,None,None
50 Ways to Leave Your Lover,Paul Simon,1976,2,7,Paul Simon,None,None
50 Ways to Leave Your Lover,Paul Simon,1976,2,14,Paul Simon,None,None
50 Ways to Leave Your Lover,Paul Simon,1976,2,21,Paul Simon,None,None
Theme from S.W.A.T.,Rhythm Heritage,1976,2,28,Rhythm Heritage,None,None
Love Machine,The Miracles,1976,3,6,The Miracles,None,None
"December, 1963 (Oh, What a Night)",The Four Seasons,1976,3,13,The Four Seasons,None,None
"December, 1963 (Oh, What a Night)",The Four Seasons,1976,3,20,The Four Seasons,None,None
"December, 1963 (Oh, What a Night)",The Four Seasons,1976,3,27,The Four Seasons,None,None
Disco Lady,Johnnie Taylor,1976,4,3,Johnnie Taylor,None,None
Disco Lady,Johnnie Taylor,1976,4,10,Johnnie Taylor,None,None
Disco Lady,Johnnie Taylor,1976,4,17,Johnnie Taylor,None,None
Disco Lady,Johnnie Taylor,1976,4,24,Johnnie Taylor,None,None
Let Your Love Flow,The Bellamy Brothers,1976,5,1,The Bellamy Brothers,None,None
Welcome Back,John Sebastian,1976,5,8,John Sebastian,None,None
Boogie Fever,The Sylvers,1976,5,15,The Sylvers,None,None
Silly Love Songs,Wings,1976,5,22,Wings,None,None
Love Hangover,Diana Ross,1976,5,29,Diana Ross,None,None
Love Hangover,Diana Ross,1976,6,5,Diana Ross,None,None
Silly Love Songs,Wings,1976,6,12,Wings,None,None
Silly Love Songs,Wings,1976,6,19,Wings,None,None
Silly Love Songs,Wings,1976,6,26,Wings,None,None
Silly Love Songs,Wings,1976,7,3,Wings,None,None
Afternoon Delight,Starland Vocal Band,1976,7,10,Starland Vocal Band,None,None
Afternoon Delight,Starland Vocal Band,1976,7,17,Starland Vocal Band,None,None
Kiss and Say Goodbye,The Manhattans,1976,7,24,The Manhattans,None,None
Kiss and Say Goodbye,The Manhattans,1976,7,31,The Manhattans,None,None
Don't Go Breaking My Heart,Elton John and Kiki Dee,1976,8,7,Elton John and Kiki Dee,None,None
Don't Go Breaking My Heart,Elton John and Kiki Dee,1976,8,14,Elton John and Kiki Dee,None,None
Don't Go Breaking My Heart,Elton John and Kiki Dee,1976,8,21,Elton John and Kiki Dee,None,None
Don't Go Breaking My Heart,Elton John and Kiki Dee,1976,8,28,Elton John and Kiki Dee,None,None
You Should Be Dancing,Bee Gees,1976,9,4,Bee Gees,None,None
"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,1976,9,11,KC and the Sunshine Band,None,None
Play That Funky Music,Wild Cherry,1976,9,18,Wild Cherry,None,None
Play That Funky Music,Wild Cherry,1976,9,25,Wild Cherry,None,None
Play That Funky Music,Wild Cherry,1976,10,2,Wild Cherry,None,None
A Fifth of Beethoven,Walter Murphy and the Big Apple Band,1976,10,9,Walter Murphy and the Big Apple Band,None,None
Disco Duck,Rick Dees and His Cast of Idiots,1976,10,16,Rick Dees and His Cast of Idiots,None,None
If You Leave Me Now,Chicago,1976,10,23,Chicago,None,None
If You Leave Me Now,Chicago,1976,10,30,Chicago,None,None
Rock'n Me,Steve Miller Band,1976,11,6,Steve Miller Band,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,11,13,Rod Stewart,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,11,20,Rod Stewart,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,11,27,Rod Stewart,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,12,4,Rod Stewart,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,12,11,Rod Stewart,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,12,18,Rod Stewart,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,12,25,Rod Stewart,None,None
Tonight's the Night (Gonna Be Alright),Rod Stewart,1977,1,1,Rod Stewart,None,None
You Don't Have to Be a Star (To Be in My Show),"Marilyn McCoo and Billy Davis, Jr.",1977,1,8,Marilyn McCoo and Billy Davis,Jr.,None
You Make Me Feel Like Dancing,Leo Sayer,1977,1,15,Leo Sayer,None,None
I Wish,Stevie Wonder,1977,1,22,Stevie Wonder,None,None
Car Wash,Rose Royce,1977,1,29,Rose Royce,None,None
Torn Between Two Lovers,Mary MacGregor,1977,2,5,Mary MacGregor,None,None
Torn Between Two Lovers,Mary MacGregor,1977,2,12,Mary MacGregor,None,None
Blinded by the Light,Manfred Mann's Earth Band,1977,2,19,Manfred Mann's Earth Band,None,None
New Kid in Town,Eagles,1977,2,26,Eagles,None,None
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,1977,3,5,Barbra Streisand,None,None
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,1977,3,12,Barbra Streisand,None,None
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,1977,3,19,Barbra Streisand,None,None
Rich Girl,Daryl Hall and John Oates,1977,3,26,Daryl Hall and John Oates,None,None
Rich Girl,Daryl Hall and John Oates,1977,4,2,Daryl Hall and John Oates,None,None
Dancing Queen,ABBA,1977,4,9,ABBA,None,None
Don't Give Up on Us,David Soul,1977,4,16,David Soul,None,None
Don't Leave Me This Way,Thelma Houston,1977,4,23,Thelma Houston,None,None
Southern Nights,Glen Campbell,1977,4,30,Glen Campbell,None,None
Hotel California,Eagles,1977,5,7,Eagles,None,None
When I Need You,Leo Sayer,1977,5,14,Leo Sayer,None,None
Sir Duke,Stevie Wonder,1977,5,21,Stevie Wonder,None,None
Sir Duke,Stevie Wonder,1977,5,28,Stevie Wonder,None,None
Sir Duke,Stevie Wonder,1977,6,4,Stevie Wonder,None,None
I'm Your Boogie Man,KC and the Sunshine Band,1977,6,11,KC and the Sunshine Band,None,None
Dreams,Fleetwood Mac,1977,6,18,Fleetwood Mac,None,None
Got to Give It Up,Marvin Gaye,1977,6,25,Marvin Gaye,None,None
Gonna Fly Now (Theme From Rocky),Bill Conti,1977,7,2,Bill Conti,None,None
Undercover Angel,Alan O'Day,1977,7,9,Alan O'Day,None,None
Da Doo Ron Ron,Shaun Cassidy,1977,7,16,Shaun Cassidy,None,None
Looks Like We Made It,Barry Manilow,1977,7,23,Barry Manilow,None,None
I Just Want to Be Your Everything,Andy Gibb,1977,7,30,Andy Gibb,None,None
I Just Want to Be Your Everything,Andy Gibb,1977,8,6,Andy Gibb,None,None
I Just Want to Be Your Everything,Andy Gibb,1977,8,13,Andy Gibb,None,None
Best of My Love,The Emotions,1977,8,20,The Emotions,None,None
Best of My Love,The Emotions,1977,8,27,The Emotions,None,None
Best of My Love,The Emotions,1977,9,3,The Emotions,None,None
Best of My Love,The Emotions,1977,9,10,The Emotions,None,None
I Just Want to Be Your Everything,Andy Gibb,1977,9,17,Andy Gibb,None,None
Best of My Love,The Emotions,1977,9,24,The Emotions,None,None
Star Wars Theme/Cantina Band,Meco,1977,10,1,Meco,None,None
