Song,Artist(s),year,Month,Day,pri_artist,sec_art_1,sec_art_2,SongTitle,PriArtName
my love,Paul McCartney & Wings,1973,6,23,paul mccartney and wings,None,None,My Love,Paul McCartney & Wings
give me love give me peace on earth,George Harrison,1973,6,30,george harrison,None,None,Give Me Love (Give Me Peace on Earth),George Harrison
will it go round in circles,Billy Preston,1973,7,7,billy preston,None,None,Will It Go Round in Circles,Billy Preston
will it go round in circles,Billy Preston,1973,7,14,billy preston,None,None,Will It Go Round in Circles,Billy Preston
bad bad leroy brown,Jim Croce,1973,7,21,jim croce,None,None,"Bad, Bad Leroy Brown",Jim Croce
bad bad leroy brown,Jim Croce,1973,7,28,jim croce,None,None,"Bad, Bad Leroy Brown",Jim Croce
the morning after,Maureen McGovern,1973,8,4,maureen mcgovern,None,None,The Morning After,Maureen McGovern
the morning after,Maureen McGovern,1973,8,11,maureen mcgovern,None,None,The Morning After,Maureen McGovern
touch me in the morning,Diana Ross,1973,8,18,diana ross,None,None,Touch Me in the Morning,Diana Ross
brother louie,Stories,1973,8,25,stories,None,None,Brother Louie,Stories
brother louie,Stories,1973,9,1,stories,None,None,Brother Louie,Stories
lets get it on,Marvin Gaye,1973,9,8,marvin gaye,None,None,Let's Get It On,Marvin Gaye
delta dawn,Helen Reddy,1973,9,15,helen reddy,None,None,Delta Dawn,Helen Reddy
lets get it on,Marvin Gaye,1973,9,22,marvin gaye,None,None,Let's Get It On,Marvin Gaye
were an american band,Grand Funk,1973,9,29,grand funk,None,None,We're an American Band,Grand Funk
half-breed,Cher,1973,10,6,cher,None,None,Half-Breed,Cher
half-breed,Cher,1973,10,13,cher,None,None,Half-Breed,Cher
angie,The Rolling Stones,1973,10,20,the rolling stones,None,None,Angie,The Rolling Stones
midnight train to georgia,Gladys Knight & the Pips,1973,10,27,gladys knight and the pips,None,None,Midnight Train to Georgia,Gladys Knight & the Pips
midnight train to georgia,Gladys Knight & the Pips,1973,11,3,gladys knight and the pips,None,None,Midnight Train to Georgia,Gladys Knight & the Pips
keep on truckin,Eddie Kendricks,1973,11,10,eddie kendricks,None,None,Keep on Truckin',Eddie Kendricks
keep on truckin,Eddie Kendricks,1973,11,17,eddie kendricks,None,None,Keep on Truckin',Eddie Kendricks
photograph,Ringo Starr,1973,11,24,ringo starr,None,None,Photograph,Ringo Starr
top of the world,The Carpenters,1973,12,1,the carpenters,None,None,Top of the World,The Carpenters
top of the world,The Carpenters,1973,12,8,the carpenters,None,None,Top of the World,The Carpenters
the most beautiful girl,Charlie Rich,1973,12,15,charlie rich,None,None,The Most Beautiful Girl,Charlie Rich
the most beautiful girl,Charlie Rich,1973,12,22,charlie rich,None,None,The Most Beautiful Girl,Charlie Rich
time in a bottle,Jim Croce,1973,12,29,jim croce,None,None,Time in a Bottle,Jim Croce
time in a bottle,Jim Croce,1974,1,5,jim croce,None,None,Time in a Bottle,Jim Croce
the joker,Steve Miller Band,1974,1,12,steve miller band,None,None,The Joker,Steve Miller Band
show and tell,Al Wilson,1974,1,19,al wilson,None,None,Show and Tell,Al Wilson
youre sixteen,Ringo Starr,1974,1,26,ringo starr,None,None,You're Sixteen,Ringo Starr
the way we were,Barbra Streisand,1974,2,2,barbra streisand,None,None,The Way We Were,Barbra Streisand
loves theme,Love Unlimited Orchestra,1974,2,9,love unlimited orchestra,None,None,Love's Theme,Love Unlimited Orchestra
the way we were,Barbra Streisand,1974,2,16,barbra streisand,None,None,The Way We Were,Barbra Streisand
the way we were,Barbra Streisand,1974,2,23,barbra streisand,None,None,The Way We Were,Barbra Streisand
seasons in the sun,Terry Jacks,1974,3,2,terry jacks,None,None,Seasons in the Sun,Terry Jacks
seasons in the sun,Terry Jacks,1974,3,9,terry jacks,None,None,Seasons in the Sun,Terry Jacks
seasons in the sun,Terry Jacks,1974,3,16,terry jacks,None,None,Seasons in the Sun,Terry Jacks
dark lady,Cher,1974,3,23,cher,None,None,Dark Lady,Cher
sunshine on my shoulders,John Denver,1974,3,30,john denver,None,None,Sunshine on My Shoulders,John Denver
hooked on a feeling,Blue Swede,1974,4,6,blue swede,None,None,Hooked on a Feeling,Blue Swede
bennie and the jets,Elton John,1974,4,13,elton john,None,None,Bennie and the Jets,Elton John
tsop the sound of philadelphia,MFSB and The Three Degrees,1974,4,20,mfsb and the three degrees,None,None,TSOP (The Sound of Philadelphia),MFSB and The Three Degrees
tsop the sound of philadelphia,MFSB and The Three Degrees,1974,4,27,mfsb and the three degrees,None,None,TSOP (The Sound of Philadelphia),MFSB and The Three Degrees
the loco-motion,Grand Funk,1974,5,4,grand funk,None,None,The Loco-Motion,Grand Funk
the loco-motion,Grand Funk,1974,5,11,grand funk,None,None,The Loco-Motion,Grand Funk
the streak,Ray Stevens,1974,5,18,ray stevens,None,None,The Streak,Ray Stevens
the streak,Ray Stevens,1974,5,25,ray stevens,None,None,The Streak,Ray Stevens
the streak,Ray Stevens,1974,6,1,ray stevens,None,None,The Streak,Ray Stevens
band on the run,Paul McCartney & Wings,1974,6,8,paul mccartney and wings,None,None,Band on the Run,Paul McCartney & Wings
billy dont be a hero,Bo Donaldson and The Heywoods,1974,6,15,bo donaldson and the heywoods,None,None,Billy Don't Be a Hero,Bo Donaldson and The Heywoods
billy dont be a hero,Bo Donaldson and The Heywoods,1974,6,22,bo donaldson and the heywoods,None,None,Billy Don't Be a Hero,Bo Donaldson and The Heywoods
sundown,Gordon Lightfoot,1974,6,29,gordon lightfoot,None,None,Sundown,Gordon Lightfoot
rock the boat,The Hues Corporation,1974,7,6,the hues corporation,None,None,Rock the Boat,The Hues Corporation
rock your baby,George McCrae,1974,7,13,george mccrae,None,None,Rock Your Baby,George McCrae
rock your baby,George McCrae,1974,7,20,george mccrae,None,None,Rock Your Baby,George McCrae
annies song,John Denver,1974,7,27,john denver,None,None,Annie's Song,John Denver
annies song,John Denver,1974,8,3,john denver,None,None,Annie's Song,John Denver
feel like makin love,Roberta Flack,1974,8,10,roberta flack,None,None,Feel Like Makin' Love,Roberta Flack
the night chicago died,Paper Lace,1974,8,17,paper lace,None,None,The Night Chicago Died,Paper Lace
youre having my baby,Paul Anka and Odia Coates,1974,8,24,paul anka and odia coates,None,None,(You're) Having My Baby,Paul Anka and Odia Coates
youre having my baby,Paul Anka and Odia Coates,1974,8,31,paul anka and odia coates,None,None,(You're) Having My Baby,Paul Anka and Odia Coates
youre having my baby,Paul Anka and Odia Coates,1974,9,7,paul anka and odia coates,None,None,(You're) Having My Baby,Paul Anka and Odia Coates
i shot the sheriff,Eric Clapton,1974,9,14,eric clapton,None,None,I Shot the Sheriff,Eric Clapton
cant get enough of your love babe,Barry White,1974,9,21,barry white,None,None,"Can't Get Enough of Your Love, Babe",Barry White
rock me gently,Andy Kim,1974,9,28,andy kim,None,None,Rock Me Gently,Andy Kim
i honestly love you,Olivia Newton-John,1974,10,5,olivia newton-john,None,None,I Honestly Love You,Olivia Newton-John
i honestly love you,Olivia Newton-John,1974,10,12,olivia newton-john,None,None,I Honestly Love You,Olivia Newton-John
nothing from nothing,Billy Preston,1974,10,19,billy preston,None,None,Nothing From Nothing,Billy Preston
then came you,Dionne Warwick and The Spinners,1974,10,26,dionne warwick and the spinners,None,None,Then Came You,Dionne Warwick and The Spinners
you havent done nothin,Stevie Wonder,1974,11,2,stevie wonder,None,None,You Haven't Done Nothin',Stevie Wonder
you aint seen nothing yet,Bachman-Turner Overdrive,1974,11,9,bachman-turner overdrive,None,None,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive
whatever gets you thru the night,John Lennon,1974,11,16,john lennon,None,None,Whatever Gets You thru the Night,John Lennon
i can help,Billy Swan,1974,11,23,billy swan,None,None,I Can Help,Billy Swan
i can help,Billy Swan,1974,11,30,billy swan,None,None,I Can Help,Billy Swan
kung fu fighting,Carl Douglas,1974,12,7,carl douglas,None,None,Kung Fu Fighting,Carl Douglas
kung fu fighting,Carl Douglas,1974,12,14,carl douglas,None,None,Kung Fu Fighting,Carl Douglas
cats in the cradle,Harry Chapin,1974,12,21,harry chapin,None,None,Cat's in the Cradle,Harry Chapin
angie baby,Helen Reddy,1974,12,28,helen reddy,None,None,Angie Baby,Helen Reddy
lucy in the sky with diamonds,Elton John,1975,1,4,elton john,None,None,Lucy in the Sky with Diamonds,Elton John
lucy in the sky with diamonds,Elton John,1975,1,11,elton john,None,None,Lucy in the Sky with Diamonds,Elton John
mandy,Barry Manilow,1975,1,18,barry manilow,None,None,Mandy,Barry Manilow
please mr postman,The Carpenters,1975,1,25,the carpenters,None,None,Please Mr. Postman,The Carpenters
laughter in the rain,Neil Sedaka,1975,2,1,neil sedaka,None,None,Laughter in the Rain,Neil Sedaka
fire,Ohio Players,1975,2,8,ohio players,None,None,Fire,Ohio Players
youre no good,Linda Ronstadt,1975,2,15,linda ronstadt,None,None,You're No Good,Linda Ronstadt
pick up the pieces,Average White Band,1975,2,22,average white band,None,None,Pick Up the Pieces,Average White Band
best of my love,Eagles,1975,3,1,eagles,None,None,Best of My Love,Eagles
have you never been mellow,Olivia Newton-John,1975,3,8,olivia newton-john,None,None,Have You Never Been Mellow,Olivia Newton-John
black water,The Doobie Brothers,1975,3,15,the doobie brothers,None,None,Black Water,The Doobie Brothers
my eyes adored you,Frankie Valli,1975,3,22,frankie valli,None,None,My Eyes Adored You,Frankie Valli
lady marmalade,Labelle,1975,3,29,labelle,None,None,Lady Marmalade,Labelle
lovin you,Minnie Riperton,1975,4,5,minnie riperton,None,None,Lovin' You,Minnie Riperton
philadelphia freedom,Elton John Band,1975,4,12,elton john band,None,None,Philadelphia Freedom,Elton John Band
philadelphia freedom,Elton John Band,1975,4,19,elton john band,None,None,Philadelphia Freedom,Elton John Band
hey wont you play another somebody done somebody wrong song,B. J. Thomas,1975,4,26,b j thomas,None,None,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B. J. Thomas
he dont love you like i love you,Tony Orlando and Dawn,1975,5,3,tony orlando and dawn,None,None,He Don't Love You (Like I Love You),Tony Orlando and Dawn
he dont love you like i love you,Tony Orlando and Dawn,1975,5,10,tony orlando and dawn,None,None,He Don't Love You (Like I Love You),Tony Orlando and Dawn
he dont love you like i love you,Tony Orlando and Dawn,1975,5,17,tony orlando and dawn,None,None,He Don't Love You (Like I Love You),Tony Orlando and Dawn
shining star,"Earth, Wind & Fire",1975,5,24,earth,Wind & Fire,None,Shining Star,Earth
before the next teardrop falls,Freddy Fender,1975,5,31,freddy fender,None,None,Before the Next Teardrop Falls,Freddy Fender
thank god im a country boy,John Denver,1975,6,7,john denver,None,None,Thank God I'm a Country Boy,John Denver
sister golden hair,America,1975,6,14,america,None,None,Sister Golden Hair,America
love will keep us together,Captain & Tennille,1975,6,21,captain and tennille,None,None,Love Will Keep Us Together,Captain & Tennille
love will keep us together,Captain & Tennille,1975,6,28,captain and tennille,None,None,Love Will Keep Us Together,Captain & Tennille
love will keep us together,Captain & Tennille,1975,7,5,captain and tennille,None,None,Love Will Keep Us Together,Captain & Tennille
love will keep us together,Captain & Tennille,1975,7,12,captain and tennille,None,None,Love Will Keep Us Together,Captain & Tennille
listen to what the man said,Wings,1975,7,19,wings,None,None,Listen to What the Man Said,Wings
the hustle,Van McCoy and the Soul City Symphony,1975,7,26,van mccoy and the soul city symphony,None,None,The Hustle,Van McCoy and the Soul City Symphony
one of these nights,Eagles,1975,8,2,eagles,None,None,One of These Nights,Eagles
jive talkin,Bee Gees,1975,8,9,bee gees,None,None,Jive Talkin',Bee Gees
jive talkin,Bee Gees,1975,8,16,bee gees,None,None,Jive Talkin',Bee Gees
fallin in love,"Hamilton, Joe Frank & Reynolds",1975,8,23,hamilton,Joe Frank & Reynolds,None,Fallin' in Love,Hamilton
get down tonight,KC and the Sunshine Band,1975,8,30,kc and the sunshine band,None,None,Get Down Tonight,KC and the Sunshine Band
rhinestone cowboy,Glen Campbell,1975,9,6,glen campbell,None,None,Rhinestone Cowboy,Glen Campbell
rhinestone cowboy,Glen Campbell,1975,9,13,glen campbell,None,None,Rhinestone Cowboy,Glen Campbell
fame,David Bowie,1975,9,20,david bowie,None,None,Fame,David Bowie
im sorry,John Denver,1975,9,27,john denver,None,None,I'm Sorry,John Denver
fame,David Bowie,1975,10,4,david bowie,None,None,Fame,David Bowie
bad blood,Neil Sedaka,1975,10,11,neil sedaka,None,None,Bad Blood,Neil Sedaka
bad blood,Neil Sedaka,1975,10,18,neil sedaka,None,None,Bad Blood,Neil Sedaka
bad blood,Neil Sedaka,1975,10,25,neil sedaka,None,None,Bad Blood,Neil Sedaka
island girl,Elton John,1975,11,1,elton john,None,None,Island Girl,Elton John
island girl,Elton John,1975,11,8,elton john,None,None,Island Girl,Elton John
island girl,Elton John,1975,11,15,elton john,None,None,Island Girl,Elton John
thats the way i like it,KC and the Sunshine Band,1975,11,22,kc and the sunshine band,None,None,That's the Way (I Like It),KC and the Sunshine Band
fly robin fly,Silver Convention,1975,11,29,silver convention,None,None,"Fly, Robin, Fly",Silver Convention
fly robin fly,Silver Convention,1975,12,6,silver convention,None,None,"Fly, Robin, Fly",Silver Convention
fly robin fly,Silver Convention,1975,12,13,silver convention,None,None,"Fly, Robin, Fly",Silver Convention
thats the way i like it,KC and the Sunshine Band,1975,12,20,kc and the sunshine band,None,None,That's the Way (I Like It),KC and the Sunshine Band
lets do it again,The Staple Singers,1975,12,27,the staple singers,None,None,Let's Do It Again,The Staple Singers
saturday night,Bay City Rollers,1976,1,3,bay city rollers,None,None,Saturday Night,Bay City Rollers
convoy,C.W. McCall,1976,1,10,cw mccall,None,None,Convoy,C.W. McCall
i write the songs,Barry Manilow,1976,1,17,barry manilow,None,None,I Write the Songs,Barry Manilow
theme from mahogany do you know where youre going to,Diana Ross,1976,1,24,diana ross,None,None,Theme from Mahogany (Do You Know Where You're Going To),Diana Ross
love rollercoaster,Ohio Players,1976,1,31,ohio players,None,None,Love Rollercoaster,Ohio Players
50 ways to leave your lover,Paul Simon,1976,2,7,paul simon,None,None,50 Ways to Leave Your Lover,Paul Simon
50 ways to leave your lover,Paul Simon,1976,2,14,paul simon,None,None,50 Ways to Leave Your Lover,Paul Simon
50 ways to leave your lover,Paul Simon,1976,2,21,paul simon,None,None,50 Ways to Leave Your Lover,Paul Simon
